"filename", "language", "Markdown", "JavaScript", "TypeScript", "JSON with Comments", "TypeScript JSX", "XML", "JSON", "C#", "PostCSS", "comment", "blank", "total"
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.Contracts/Events/Shipment/ShipmentCreated.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.Contracts/Events/Shipment/ShipmentReceived.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.Contracts/Events/Transaction/TransactionSuccessful.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.Contracts/Events/User/UserRegistered.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.Contracts/InternetMarket.Contracts.csproj", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 3, 10
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.EmailService/InternetMarket.EmailService.API/InternetMarket.EmailService.API.csproj", "XML", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 5, 19
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.EmailService/InternetMarket.EmailService.API/Program.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 4, 29
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.EmailService/InternetMarket.EmailService.API/Properties/launchSettings.json", "JSON", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 1, 24
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.EmailService/InternetMarket.EmailService.API/appsettings.json", "JSON", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.EmailService/InternetMarket.EmailService.Application/Abstractions/EmailSender/IEmailSender.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.EmailService/InternetMarket.EmailService.Application/Consumers/Email/EmailChangeRequestedConsumer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 3, 30
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.EmailService/InternetMarket.EmailService.Application/Consumers/Order/OrderCancelledConsumer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 4, 31
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.EmailService/InternetMarket.EmailService.Application/Consumers/Order/OrderCreatedConsumer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 5, 42
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.EmailService/InternetMarket.EmailService.Application/Consumers/Order/OrderPaidConsumer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 3, 30
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.EmailService/InternetMarket.EmailService.Application/Consumers/Password/PasswordResetRequestedConsumer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 3, 31
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.EmailService/InternetMarket.EmailService.Application/Consumers/User/UserRegisteredConsumer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 3, 31
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.EmailService/InternetMarket.EmailService.Application/DTOs/EmailMetadata/EmailMetadata.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 2, 24
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.EmailService/InternetMarket.EmailService.Application/InternetMarket.EmailService.Application.csproj", "XML", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 5, 21
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.EmailService/InternetMarket.EmailService.Infrastructure/Extensions/DI/DependencyInjection.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 3, 53
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.EmailService/InternetMarket.EmailService.Infrastructure/Extensions/FluentEmail/FluentEmailExtensions.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 3, 26
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.EmailService/InternetMarket.EmailService.Infrastructure/Implementations/EmailSender/EmailSender.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 3, 29
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.EmailService/InternetMarket.EmailService.Infrastructure/InternetMarket.EmailService.Infrastructure.csproj", "XML", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
